,cluster,latitude,longitude,supply
1229,1490,42.0869,-76.8397,10.0
1230,4322,39.9648,-83.126,12.0
1231,4350,41.4748,-84.5629,1.0
1232,4402,41.5719,-81.2056,5.0
1233,4403,41.3724,-82.1051,12.0
1234,4409,41.6302,-81.4076,4.0
1235,4534,39.6321,-84.2675,2.0
1236,4537,40.0374,-84.2032,3.0
1237,4543,39.7574,-84.0569,14.0
1238,4584,41.0449,-83.6457,2.0
1239,7470,33.922,-96.1918,5.0
1240,9701,45.415,-122.52,17.0
1241,9752,42.3989,-123.3538,7.0
1242,9760,42.2933,-121.8169,5.0
1243,1530,40.1717,-80.256,2.0
1244,1540,39.8897,-79.7282,3.0
1245,1633,41.6338,-80.1488,1.0
1246,1720,39.9313,-77.6579,10.0
1247,1804,40.67365,-75.25525,13.0
1248,1896,40.362,-75.319,4.0
1249,1906,39.9188,-75.3991,3.0
1250,1907,39.8784,-75.3215,2.0
1251,1932,39.9843,-75.8253,4.0
1252,1960,40.3886,-75.9328,3.0
1253,2911,33.5675,-80.9248,1.0
1254,2944,33.4037,-79.2264,2.0
1255,2955,34.3756,-80.0842,1.0
1256,2961,34.8661,-82.3198,1.0
1257,2990,32.4244,-80.5653,6.0
1258,2992,32.23835,-80.9333,2.0
1259,3731,35.1668,-84.8613,7.0
1260,3787,36.471,-83.5552,1.0
1261,3802,36.0444,-89.3836,1.0
1262,7502,33.745,-96.5496,15.0
1263,7518,32.797,-96.5616,1.0
1264,7545,33.1733,-94.9695,3.0
1265,7575,32.1935,-95.8432,1.0
1266,7624,32.931,-97.2843,4.0
1267,7654,31.0065,-97.841,6.0
1268,7820,29.439233333333334,-98.51803333333334,20.0
1269,7864,29.9966,-97.8335,15.0
1270,7873,30.3705,-97.9427,2.0
1271,7993,31.8045,-105.9661,7.0
1272,8412,40.6844,-111.90719999999999,17.0
1273,8414,40.7869,-111.9008,2.0
1274,2011,38.7492,-77.4878,10.0
1275,2219,38.6356,-77.2683,9.0
1276,2280,38.4489,-78.8714,2.0
1277,2380,37.1819,-77.3854,4.0
1278,2421,36.6673,-81.9648,4.0
1279,2454,36.5779,-79.4411,1.0
1280,0560,44.2641,-72.577,1.0
1281,9803,47.7188,-122.1966,16.0
1282,9827,48.3643,-122.1403,5.0
1283,9843,47.2529,-122.4443,3.0
1284,9849,47.1677,-122.5024,4.0
1285,9858,47.2151,-123.1007,1.0
1286,9936,46.0614,-118.3315,1.0
1287,5309,43.33425,-88.09455,5.0
1288,5313,42.9017,-88.0086,4.0
1289,5351,42.562,-89.086,7.0
1290,5449,44.3758,-89.8062,2.0
1291,3505,34.2098,-86.752,2.0
1292,3595,34.1921,-86.1941,2.0
1293,3597,34.3449,-86.2752,2.0
1294,3636,31.4391,-85.6436,2.0
1295,3642,31.213250000000002,-86.7933,2.0
1296,7201,34.4933,-92.5896,3.0
1297,7245,36.0584,-90.4973,2.0
1298,7276,36.1716,-94.0428,4.0
1299,8523,33.3527,-111.7809,2.0
1300,9301,34.2313,-119.0464,1.0
1301,9346,35.5551,-120.7107,3.0
1302,9408,37.6574,-122.4235,4.0
1303,9534,37.2983,-120.4649,3.0
1304,9538,37.4888,-120.8535,2.0
1305,9553,41.7817,-124.1332,1.0
1306,8010,39.3643,-104.9014,2.0
1307,8050,40.1306,-104.9504,4.0
1308,8140,38.4678,-107.8752,1.0
1309,8160,39.5296,-107.3252,1.0
1310,0636,41.5371,-72.0849,6.0
1311,0645,41.5569,-72.6652,2.0
1312,3244,30.7996,-85.2293,1.0
1313,3257,30.6604,-87.0473,1.0
1314,3445,28.8358,-82.3304,7.0
1315,3475,28.1984,-81.487,1.0
1316,3013,33.7606,-84.7477,5.0
1317,3045,32.4408,-81.774,1.0
1318,5001,42.0379,-93.6003,4.0
1319,5070,42.494,-92.3317,6.0
1320,5265,40.8321,-91.1799,2.0
1321,6128,41.5007,-90.4126,1.0
1322,6183,40.137,-87.6217,3.0
1323,4614,39.7902,-85.8141,2.0
1324,4695,40.5743,-85.6741,3.0
1325,4702,39.1401,-84.8658,1.0
1326,4727,38.9571,-85.8825,1.0
1327,4754,38.3604,-86.9295,2.0
1328,6650,39.1938,-96.5858,3.0
1329,6784,37.9769,-100.8621,1.0
1330,4047,37.7546,-84.2955,5.0
1331,4060,38.2281,-84.8697,6.0
1332,4074,37.1549,-84.0961,5.0
1333,4243,37.3256,-87.4953,1.0
1334,7046,30.2726,-89.729,1.0
1335,7057,30.5144,-92.0897,2.0
1336,7073,30.2473,-90.918,3.0
1337,0110,42.1288,-72.5778,1.0
1338,0175,42.1511,-71.5274,2.0
1339,0254,41.5648,-70.6217,1.0
1340,2074,38.7587,-76.9835,2.0
1341,2088,39.144,-77.2076,2.0
1342,2090,39.0668,-76.9969,7.0
1343,2181,38.3475,-75.1866,1.0
1344,4838,42.5834,-83.5009,2.0
1345,4903,41.9255,-85.0057,1.0
1346,4942,42.7692,-86.1164,5.0
1347,5600,44.1538,-93.996,1.0
1348,6380,36.8911,-89.582,1.0
1349,6390,36.7662,-90.4166,3.0
1350,6401,39.0152,-94.2604,5.0
1351,6530,38.6961,-93.2323,1.0
1352,6561,37.13875,-93.33035,5.0
1353,3861,34.256,-90.6348,1.0
1354,3865,34.63745,-89.66895,11.0
1355,5984,46.2395,-114.1679,1.0
1356,2733,35.4698,-79.1717,3.0
1357,2789,35.727,-77.9227,3.0
1358,2790,36.2951,-76.2445,1.0
1359,2811,35.2393,-80.71125,6.0
1360,2854,34.774,-77.3781,5.0
1361,8830,33.6496,-105.8696,3.0
1362,1080,40.9115,-73.7824,1.0
1363,1090,41.1177,-74.1241,5.0
1364,1251,41.4162,-74.0395,1.0
1365,1274,41.7143,-74.7263,2.0
1366,1360,43.9743,-75.9122,2.0
1367,1451,43.0519,-77.0946,1.0
1368,4305,40.0724,-82.4046,5.0
1369,4401,41.4467,-82.0204,2.0
1370,4482,40.8103,-82.9698,1.0
1371,4510,39.0957,-84.1451,2.0
1372,4575,39.4281,-81.4644,5.0
1373,4582,40.4846,-84.6517,1.0
1374,7313,35.411,-97.4388,4.0
1375,7440,35.7058,-95.5002,1.0
1376,9783,45.845,-119.2849,1.0
1377,9785,45.3304,-118.0852,2.0
1378,1506,40.4179,-79.8257,3.0
1379,1523,40.50065,-79.98965,10.0
1380,1580,41.126,-78.7527,4.0
1381,1614,41.2316,-80.4993,1.0
1382,1654,42.1827,-80.0649,6.0
1383,1732,39.832,-77.2223,3.0
1384,1823,40.8299,-75.6974,2.0
1385,1836,40.9877,-75.2485,8.0
1386,1843,41.5792,-75.2528,2.0
1387,1850,41.4019,-75.6376,2.0
1388,1895,40.4411,-75.3507,3.0
1389,2948,32.966433333333335,-80.34183333333333,5.0
1390,2972,34.749,-80.7616,2.0
1391,3705,36.076,-87.3995,4.0
1392,3716,35.9656,-86.5048,2.0
1393,7516,32.3808,-96.8374,3.0
1394,7613,32.6711,-97.4056,3.0
1395,7617,32.9448,-97.3124,2.0
1396,7737,30.0739,-95.6201,5.0
1397,7746,29.5511,-95.7329,1.0
1398,7756,29.0393,-95.4401,3.0
1399,7802,30.0416,-99.1408,1.0
1400,8408,40.5959,-111.9644,3.0
1401,2016,38.9814,-77.4723,1.0
1402,2270,38.5117,-77.9928,1.0
1403,5329,43.0389,-87.9065,1.0
1404,2474,37.3799,-81.1175,5.0
1405,2580,37.7932,-81.2061,7.0
1406,2633,39.2954,-80.2427,3.0
1407,8271,44.282,-105.4974,1.0
1408,3550,33.8312,-87.2775,6.0
1409,3596,34.4898,-85.7657,1.0
1410,7175,33.2647,-93.2392,1.0
1411,8529,33.3354,-111.7406,2.0
1412,9179,34.0673,-117.9366,6.0
1413,9231,34.8914,-117.0387,1.0
1414,9254,33.7416,-116.973,4.0
1415,9278,33.7364,-117.8229,1.0
1416,9287,33.8744,-117.8543,1.0
1417,9561,38.5538,-121.7418,3.0
1418,3303,25.4766,-80.4839,4.0
1419,3352,28.3318,-82.2446,1.0
1420,3024,33.0243,-85.0739,3.0
1421,3065,33.7883,-83.7013,1.0
1422,3121,32.8118,-83.565,2.0
1423,3150,31.2243,-82.3596,2.0
1424,6003,42.1794,-87.8059,1.0
1425,6204,38.7261,-90.1106,1.0
1426,4605,40.0449,-86.4641,1.0
1427,4629,39.9347,-86.1633,2.0
1428,4635,41.5994,-86.7077,6.0
1429,4720,39.2055,-85.9317,4.0
1430,6680,38.4184,-96.1871,1.0
1431,6704,37.8226,-96.8543,1.0
1432,4035,38.199,-83.4436,2.0
1433,4039,37.9872,-84.1789,3.0
1434,4096,36.6172,-83.7231,1.0
1435,4214,36.9882,-85.9221,1.0
1436,4250,37.1029,-84.5443,2.0
1437,7034,29.5232,-90.3393,1.0
1438,7052,30.2148,-92.3777,1.0
1439,7066,30.219,-93.3639,2.0
1440,7079,30.6561,-91.1358,3.0
1441,3923,32.3299,-90.0915,1.0
1442,2810,35.1149,-80.705,2.0
1443,2826,35.3183,-80.7476,1.0
1444,2831,35.0506,-78.8038,1.0
1445,2862,36.2872,-80.8554,1.0
1446,0383,42.9815,-70.9478,2.0
1447,0709,40.791,-74.0634,2.0
1448,0885,40.398,-74.3236,2.0
1449,1054,41.205,-73.7299,2.0
1450,1169,40.6006,-73.758,2.0
1451,1277,41.3786,-74.6691,1.0
1452,1443,42.57,-77.7109,1.0
1453,4362,41.708,-83.6434,1.0
1454,4372,40.027,-81.582,1.0
1455,7400,36.7366,-95.9251,2.0
1456,7407,36.1043,-97.0609,1.0
1457,9738,44.8021,-122.7624,1.0
1458,1500,40.6972,-80.3365,3.0
1459,1570,40.6196,-79.1596,2.0
1460,1680,40.8082,-77.8926,1.0
1461,1783,40.9702,-76.9099,1.0
1462,1944,40.2378,-75.2955,1.0
1463,2902,34.2696,-80.591,1.0
1464,2953,34.4146,-79.377,1.0
1465,2980,33.553,-81.7194,4.0
1466,3717,36.5018,-86.8769,1.0
1467,3741,35.0015,-85.2384,3.0
1468,3774,35.9348,-84.5155,1.0
1469,7540,33.1854,-96.1304,1.0
1470,7604,32.425,-97.7742,2.0
1471,7757,29.5173,-95.0963,1.0
1472,7758,29.5405,-95.3208,2.0
1473,7862,30.633,-97.6707,1.0
1474,2291,38.0995,-78.4085,2.0
1475,2411,36.6796,-79.8652,1.0
1476,9838,47.6621,-122.6981,2.0
1477,3561,34.8036,-86.9707,1.0
1478,7173,33.2073,-92.6629,1.0
1479,7250,35.7826,-91.6352,1.0
1480,8632,34.7055,-112.0091,1.0
1481,9174,34.1537,-117.8437,1.0
1482,9222,33.9282,-116.8899,1.0
1483,9258,33.7467,-117.1721,1.0
1484,9284,33.7671,-117.929,1.0
1485,9533,37.8134,-121.2132,1.0
1486,3203,30.6697,-81.4626,1.0
1487,3255,30.385,-86.3473,1.0
1488,3301,25.8803,-80.3368,1.0
1489,3422,26.9667,-82.3599,1.0
1490,3022,33.2404,-84.2734,1.0
1491,3070,34.6277,-84.8644,2.0
1492,6108,41.8055,-89.7054,1.0
1493,6265,39.7339,-90.229,1.0
1494,6280,38.5241,-89.1365,1.0
1495,7004,29.9466,-89.9611,1.0
1496,7054,30.2201,-92.6574,1.0
1497,7120,32.3868,-92.0722,1.0
1498,0212,42.2918,-71.0717,2.0
1499,4832,42.5424,-83.3793,3.0
1500,4885,43.6013,-84.7736,1.0
1501,4970,45.079,-83.4602,1.0
1502,4973,45.0125,-84.6723,1.0
1503,6340,39.7064,-91.3839,1.0
1504,6527,39.4202,-92.4358,2.0
1505,6547,37.7677,-92.112,1.0
1506,3918,32.386,-90.84,1.0
1507,2813,35.3706,-81.9781,1.0
1508,2855,34.7253,-76.7531,1.0
1509,2865,35.7346,-81.7042,1.0
1510,2867,35.799,-80.894,3.0
1511,6890,40.5877,-98.3911,2.0
1512,0386,43.66905,-71.0497,2.0
1513,0821,39.1378,-74.7806,1.0
1514,8712,35.2493,-106.6818,1.0
1515,8753,35.9872,-106.0717,1.0
1516,8820,33.6397,-104.3748,2.0
1517,8951,39.4151,-119.7668,1.0
1518,8952,39.3809,-119.6859,1.0
1519,1476,42.0821,-78.426,1.0
1520,4356,41.708,-83.7068,1.0
1521,4395,40.3698,-80.634,1.0
1522,4462,40.5343,-81.4763,1.0
1523,7300,35.6748,-97.4997,1.0
1524,7353,34.5073,-97.9403,1.0
1525,7412,36.1576,-96.0311,2.0
1526,7446,35.9001,-95.04,1.0
1527,9732,44.652,-123.1333,1.0
1528,1565,40.2926,-79.4103,1.0
1529,2932,34.4707,-81.8772,1.0
1530,2967,34.774,-82.9457,1.0
1531,2968,34.7512,-82.255,1.0
1532,3739,35.1864,-86.113,1.0
1533,7860,30.1388,-97.2921,1.0
1534,8401,40.8775,-111.8727,1.0
1535,2018,38.6898,-77.8361,1.0
1536,2407,37.1353,-80.4188,1.0
1537,2430,37.0567,-80.771,1.0
1538,9833,47.3607,-122.6001,1.0
1539,5422,44.0971,-87.6823,1.0
1540,2606,40.4137,-80.5683,1.0
1541,2624,38.9253,-79.8471,1.0
1542,2665,38.3009,-80.8353,1.0
1543,8290,41.606,-109.23,1.0
