,cluster,latitude,longitude,supply
0,350,33.5752,-86.83736666666665,16.0
1,352,33.50448333333333,-86.77881666666667,314.0
2,354,33.2121,-87.5785,38.0
3,356,34.745374999999996,-87.328125,23.0
4,358,34.7269,-86.5673,138.0
5,359,34.21186,-86.01346,16.0
6,361,32.34693333333334,-86.2309,61.0
7,362,33.6803,-85.7137,13.0
8,363,31.268966666666667,-85.4994,32.0
9,365,30.45095,-87.7846,14.0
10,366,30.693925,-88.13925,116.0
11,368,32.6454,-85.3783,17.0
12,716,33.67285,-92.02115,8.0
13,719,34.529250000000005,-93.01124999999999,22.0
14,720,34.78875,-92.50659999999999,7.0
15,721,34.963366666666666,-92.03813333333333,29.0
16,722,34.74365,-92.3098,182.0
17,724,35.9457,-90.5969,21.0
18,726,36.3312,-92.3753,2.0
19,727,36.224549999999994,-94.143275,41.0
20,728,35.2842,-93.1315,1.0
21,729,35.354,-94.3947,21.0
22,850,33.54476363636363,-112.06188181818183,454.0
23,852,33.43914545454546,-111.80756363636365,236.0
24,853,33.451299999999996,-112.66973333333333,122.0
25,857,32.248,-110.95796666666668,175.0
26,860,35.1859,-111.662,32.0
27,863,34.63303333333334,-112.254,13.0
28,864,34.87235,-114.1853,7.0
29,900,34.02065454545455,-118.28905454545456,290.0
30,902,33.94786666666667,-118.26146666666666,57.0
31,903,33.955,-118.3556,8.0
32,905,33.8263,-118.33230000000002,115.0
33,906,33.97463333333333,-118.06076666666667,32.0
34,907,33.8479,-118.12456666666668,25.0
35,908,33.79325,-118.18555,72.0
36,910,34.1243,-118.0515,19.0
37,911,34.1478,-118.1445,22.0
38,912,34.14675,-118.24605,24.0
39,913,34.24471666666667,-118.59753333333333,92.0
40,914,34.182175,-118.46027500000001,13.0
41,915,34.169,-118.3442,22.0
42,917,34.07728,-117.80828999999999,84.0
43,919,32.675975,-117.058175,90.0
44,920,33.046325,-117.229225,153.0
45,921,32.78714,-117.14984000000001,200.0
46,922,33.608779999999996,-116.32608,58.0
47,923,34.26905,-117.26193750000002,183.0
48,924,34.1426,-117.2606,25.0
49,925,33.77015555555555,-117.2425888888889,166.0
50,926,33.65076,-117.8003,82.0
51,927,33.731375,-117.868525,75.0
52,928,33.835777777777786,-117.86593333333333,113.0
53,930,34.2489,-119.052225,38.0
54,931,34.4369,-119.7285,42.0
55,932,36.130675000000004,-119.306025,41.0
56,933,35.3754,-119.026275,89.0
57,934,35.2577,-120.59803333333332,23.0
58,935,34.6463,-118.19005,47.0
59,936,36.93879999999999,-119.93493333333333,21.0
60,937,36.8064,-119.77063333333335,101.0
61,939,36.6444,-121.74223333333333,52.0
62,940,37.532450000000004,-122.31036666666665,60.0
63,941,37.77008571428571,-122.42704285714285,127.0
64,943,37.4285,-122.17305,45.0
65,945,37.91019374999999,-122.06662499999999,206.0
66,946,37.8281,-122.23213333333335,74.0
67,947,37.8571,-122.25,2.0
68,949,37.990899999999996,-122.5609,10.0
69,950,37.057433333333336,-121.7718,42.0
70,951,37.289325000000005,-121.8742,121.0
71,952,37.96183333333334,-121.30486666666667,56.0
72,953,37.660714285714285,-120.83727142857143,114.0
73,954,38.4604,-122.71000000000001,37.0
74,956,38.64825555555556,-121.37932222222223,138.0
75,958,38.55196,-121.44238,198.0
76,959,39.401975,-121.4579,45.0
77,960,40.5605,-122.4116,51.0
78,961,38.917,-119.9865,1.0
79,800,39.835860000000004,-104.97668000000002,142.0
80,801,39.5313,-104.90621666666665,108.0
81,802,39.75076,-104.99784,119.0
82,803,39.9914,-105.2392,9.0
83,805,40.385133333333336,-105.03283333333333,44.0
84,806,40.2463,-104.74043333333333,25.0
85,809,38.877359999999996,-104.77637999999999,111.0
86,810,38.11945,-104.1439,21.0
87,813,37.2874,-107.8617,3.0
88,815,39.0783,-108.5457,35.0
89,060,41.74516666666667,-72.67386666666667,21.0
90,061,41.77023333333333,-72.70483333333334,111.0
91,065,41.31355,-72.92945,74.0
92,066,41.2048,-73.18870000000001,25.0
93,067,41.635866666666665,-73.06590000000001,34.0
94,068,41.18186666666667,-73.49993333333333,23.0
95,069,41.0602,-73.5445,12.0
96,200,38.9064,-77.04375,166.0
97,197,39.5645,-75.597,157.0
98,198,39.77265,-75.53915,19.0
99,199,38.864174999999996,-75.42605,80.0
100,320,30.186475,-81.594975,60.0
101,321,29.255816666666664,-81.30848333333331,104.0
102,322,30.303325000000005,-81.58575,240.0
103,323,30.4771,-84.2246,74.0
104,324,30.385033333333336,-85.51713333333333,32.0
105,325,30.5293,-86.87599999999999,150.0
106,326,29.657666666666668,-82.36970000000001,118.0
107,327,28.7464,-81.32154999999999,93.0
108,328,28.499183333333335,-81.34476666666666,291.0
109,329,28.062424999999998,-80.6071,109.0
110,330,26.02644444444444,-80.28863333333334,124.0
111,331,25.77553076923077,-80.26824615384615,191.0
112,333,26.121285714285712,-80.23585714285714,104.0
113,334,26.624281818181817,-80.13753636363634,154.0
114,335,28.055374999999998,-82.299875,45.0
115,336,27.99115,-82.49716666666667,240.0
116,337,27.820028571428573,-82.72214285714286,186.0
117,338,27.93914,-81.71046,124.0
118,339,26.677985714285715,-81.91484285714286,168.0
119,341,26.174275,-81.7132,29.0
